# GOLDPOT SHORTCUTS IMPORT
# Format: Position Name | /shortcut
# One entry per line. Lines starting with # are ignored.
#
# Just add your shortcut after the | (pipe) symbol.
# Example:
#   Grove Basketball | /grj
#   LS Shopping Centre | /lsdive
#
# Total: 337 positions from SavedPositions.json
#
# --- START OF POSITIONS ---
24 Carat Dogg | /party
Plug it in and enjoy | /sf
Power Station in LS | /grove
Power Video Rentals | /ls
Powertool Paradise | /chilliad
Psychic Special | /party
Quite Humourous Comedy Club | /ls
Racing the blind man | /lvair
Rainbow stairs | /ust
Redsands West Steakhouse | /lvair
Reservoir Dregs | /ust
Rest In Cement | /trans
RIP Opposition | /arch
Rodeo Hotel | /party
Rodeo Style since 1888 | /party
Rodriguez Iron Works | /lsdive
Royal Casino | /lv
Rusty, Old, Broken Walton | /lsdive
San Andreas Federal Mint | /arch
Sand Roller | /party
Santa Maria Gym | /party
Santos Investment | /grove
SF Fire Station | /otto
SF Hospital | /arch
SF Police Station | /otto
SF Vehicle Dealership | /wang
SFSE Birthday House | /party
Sherman Dam | /dam
Ship docked in LS | /lsair
Shody Used Autos | /lvair
Shooting range | /drift2
Sity Burgers | 
Small dock near a ranch | /drift2
Small SF Tunnel | /arch
Sodom Sex Toys | /arch
Solarin Industries | /lsdive
Son Of a Beach | /party
Southmost point in SA | /obj
Souvenirs: Gifts, Hats & Bag | /lvair
Spacey | /ls
Spandex | /lsdive
Spinning Sprunk | /lsdive
Starballs | /ls
Submarine | /otto
Substandard | 
Supa Save | /wang
Sushi Man | /wang
Sweet Johnson's House | /grove
Taking the law into our own hands | /lv
Tee Pee Motel | /dam
Ten Green Bottles | /grove
The Bahamas | /grove
The Biffin Bridge Hotel | /wang
The Big Spread Ranch | /aa
The Book Emporium | /party
The Corvin Stadium | /trans
The Craw Bar | /lv
The finest pizza in San Fierro | /otto
The Fleischberg Factory | /drift4
The Golden Palms | /grove
The Green Sabre | /ust
The Highest Building In San Fierro | /otto
The highest wooden shack | /drift1
The meat factory | /ts3
The ol' Camper Park | /ts1
The pink obeo | /drift6
The Pirate bay home, real pirate ship | /lv
The S.W.A.T Break in | /grove
The Ship Cabin | /sf
The Smokin Beef Grill | /drift2
The Strip sex shop | /lv
The USS Nummutz | /otto
The Wizard Of Ass | /party
Tony's Liquor | /grove
Top of the pyramid | /lv
Totally Nude | /grove
Toy Corner | /ls
Trailerpark at sea | /ts1
Train sheds | /lvair
Tram Depot | /wang
Trashed Vice City Maps | /chilliad
Tree House | /ts1
Tuff Nut Donuts | /sf
Tunnel under the train tracks | /ust
Turning Trailers into Homes | /ts1
Turning Trick, Advanced Motoring LV | /bs
Two Leaning pylons | /dam
U Get Inn Motel | /drift2
UFO bar | /drift2
UFO House | /lsdive
Ugaladajara Jewelry Plaza | /ust
Under Frederick Bridge | /lvair
Under The Bridge | /otto
Underneath the Giant Sphinx | /lv
Underwater Tunnel | /otto
Unfinished buildin near the skatepark | /sp
Unused Bombshop in SF | /otto
Unused Pay N Spray | /lv
Vank Hoff in the park | /wang
Venturas Steaks | /drift9
Verona Beach Pier | /party
Vice | /lv
Village Ruins | /drift2
Vinewood Wigs | /ls
Wanted Exports | /ts1
We have gas | /lsdive
Wedding Tackle | /lv
Welcome to Dirtring! | /ts3
Welcome to The Truth's drugfarm | /ts1
We'll dump your load | /ts1
We'll keep you in the GREEN! | /lvair
We've Got Crabs! | /wang
Wholesale produce | 
World class topless girls | /lv
World of Coq | /ts2
Wrecking Ball | /wang
Yellow Bell Golf | /lvair
YoYoJos Records | /ls
Zapateria SORID | /party
Zero RC Shop | /wang
Zombotech | /wang
